"Historical Data"
"From 2025-01-02 to 2026-01-01"
FR0003500008
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover
06/10/2025;8035.33;8035.72;7909.46;7971.78;7971.78;0;0;4392515763;
03/10/2025;8093.01;8097.24;8040.36;8081.54;8081.54;0;0;3386175159;
02/10/2025;8025.50;8088.53;8023.02;8056.63;8056.63;0;0;3608202608;
01/10/2025;7894.29;7984.82;7865.40;7966.95;7966.95;0;0;3859962406;
30/09/2025;7865.44;7895.94;7831.08;7895.94;7895.94;0;0;3957950216;
29/09/2025;7899.02;7901.23;7870.47;7880.87;7880.87;0;0;3021402729;
26/09/2025;7822.17;7875.04;7821.25;7870.68;7870.68;0;0;3241009568;
25/09/2025;7797.97;7819.70;7760.07;7795.42;7795.42;0;0;2937398196;
24/09/2025;7871.22;7872.57;7810.05;7827.45;7827.45;0;0;3370368226;
23/09/2025;7867.69;7919.07;7857.11;7872.02;7872.02;0;0;3191554899;
22/09/2025;7847.76;7850.22;7801.17;7830.11;7830.11;0;0;2683142773;
19/09/2025;7873.37;7934.92;7853.59;7853.59;7853.59;0;0;8490483692;
18/09/2025;7822.57;7887.11;7818.74;7854.61;7854.61;0;0;3399106112;
17/09/2025;7841.55;7846.09;7777.96;7786.98;7786.98;0;0;3162909985;
16/09/2025;7890.53;7903.04;7811.12;7818.22;7818.22;0;0;3638188757;
15/09/2025;7848.20;7935.31;7843.46;7896.93;7896.93;0;0;3079342964;
12/09/2025;7830.70;7842.62;7768.91;7825.24;7825.24;0;0;2938845324;
11/09/2025;7781.80;7848.38;7773.57;7823.52;7823.52;0;0;3052407891;
10/09/2025;7774.36;7823.34;7750.60;7761.32;7761.32;0;0;3232901310;
09/09/2025;7750.92;7791.65;7729.88;7749.39;7749.39;0;0;2998420425;
08/09/2025;7706.79;7745.05;7682.31;7734.84;7734.84;0;0;2726537857;
05/09/2025;7723.97;7732.04;7649.40;7674.78;7674.78;0;0;3236722208;
04/09/2025;7701.46;7727.76;7676.84;7698.92;7698.92;0;0;3724353052;
03/09/2025;7699.62;7736.76;7671.53;7719.71;7719.71;0;0;3402940960;
02/09/2025;7730.61;7738.18;7648.13;7654.25;7654.25;0;0;3738252909;
